pattern	regex->SR (milliseconds)	SR->NCA (milliseconds)	|NCA|	regex->NFA (milliseconds)	NFA->DFA (milliseconds)	DFA->min (milliseconds)	|NFA|	|DFA|	|min|
^\d{2}[0-1][0-9][0-3][0-9]-{0,1}\d{2}-{0,1}\d{4}$	2.94772	0.11372	8	0.0239	0.05866	0.04562	17	15	15
^([^\s]){5,12}$	0.28901	0.00712	2	0.04564	0.23756	0.05994	40	13	13
^[\w_.]{5,12}$	9.73375	0.01128	2	0.00877	4E-05	0.04682	13	13	13
(((((0[1-9]|[12][0-9]|3[01])/(0[13578]|1[02]))|((0[1-9]|[12][0-9]|30)/(0[469]|11))|((0[1-9]|[1][0-9]|2[0-8]))/02)/([0-9]{3}[1-9]|[0-9]{2}[1-9][0-9]{1}|[0-9]{1}[1-9][0-9]{2}|[1-9][0-9]{3}) ((([0-1][0-9])|([2][0-3]))[:][0-5][0-9]$))|(29/02/(([0-9]{2})(0[48]|[2468][048]|[13579][26])|((0[48]|[2468][048]|[3579][26])00)) ((([0-1][0-9])|([2][0-3]))[:][0-5][0-9]$)))	2.24504	0.50687	52	0.54908	11.65972	2.50365	77	204	157
^(01)[0-9]{8}	0.11535	0.00866	4	0.01244	7E-05	0.03059	11	11	11
^(\d){7,8}$	1.1293	0.0077	2	0.0223	8E-05	0.03158	9	9	9
^(\d){8}$	1.04849	0.00716	2	0.01532	5E-05	0.02442	9	9	9
^(\d){2}-(\d){2}-(\d){2}$	1.28291	0.01622	4	0.0245	0.00011	0.03655	9	9	9
^([A-Z0-9]{5})$	0.09415	0.00638	2	0.00621	9E-05	0.01737	6	6	6
^([0-9]{1,2},([0-9]{2},)*[0-9]{3}|[0-9]+)$	0.17569	0.02591	6	0.0346	0.04352	0.0355	12	8	8
^([a-z]{1}[a-z0-9\-_\.]{2,24})@tlen\.pl$	0.46839	0.0388	10	0.0385	0.1643	0.14991	35	34	34
[a-z0-9][a-z0-9_\.-]{0,}[a-z0-9]\.[a-z0-9][a-z0-9_\.-]{0,}[a-z0-9][\.][cn]{2,4}	0.33232	0.02083	8	0.0477	0.27555	0.11539	14	24	9
^[+-]?\d*(([,.]\d{3})+)?([,.]\d+)?([eE][+-]?\d+)?$	1.74852	0.06018	8	0.04212	0.1031	0.09589	19	14	10
^[\d]{5}[-\s]{1}[\d]{4}[-\s]{1}[\d]{2}$	1.59715	0.01655	4	0.01555	6E-05	0.03682	14	14	14
^[\d]{5}[-\s]{1}[\d]{2}[-\s]{1}[\d]{2}[-\s]{1}[\d]{2}$	1.63005	0.01841	5	0.0191	8E-05	0.03911	15	15	15
^[\d]{5}[-\s]{1}[\d]{3}[-\s]{1}[\d]{3}$	1.40129	0.0154	4	0.01555	5E-05	0.03612	14	14	14
^[\d]{4}[-\s]{1}[\d]{3}[-\s]{1}[\d]{4}$	1.53325	0.05097	4	0.01593	6E-05	0.03623	14	14	14
^(?<dayOfWeek>\w{3}) (?<monthName>\w{3}) (?<day>\d{1,2}) (?<year>\d{4})? ?(?<hours>\d{1,2}):(?<minutes>\d{1,2}):(?<seconds>\d{1,2}) (GMT|UTC)(?<timeZoneOffset>[-+]?\d{4}) (?<year>\d{4})?\(?(?<timeZoneName>[a-zA-Z\s]+)?\)?$	35.92975	0.25469	21	0.09463	0.21842	0.16394	54	44	43
^(?<hours>\d{2}):(?<minutes>\d{2}):(?<seconds>\d{2}) (?<month>[a-zA-Z]{3}) (?<day>\d{1,}), (?<year>\d{4}) (?<timezone>[a-zA-Z]{3})$	2.15194	0.04232	10	0.11886	0.09663	0.0807	26	25	25
^http\://www.[a-zA-Z0-9\-\.]+\.[a-zA-Z]{2,3}/$	0.56651	0.05372	15	0.03257	0.08684	0.0627	20	18	18
^([0-2]\d|3[0-1]|[1-9])\/(0\d|1[0-2]|[1-9])\/(\d{4})$	2.06338	0.05096	9	0.05208	0.04964	0.06195	13	14	14
